hh_id,onset_day,listing_day,event_day,event_type,report_domain
H00187,16,16,90,1,D01
H00188,7,7,54,0,D05
H00189,0,0,108,0,D03
H00190,19,19,72,0,D07
H00191,10,10,71,1,D04
H00192,15,15,49,0,D05
H00193,17,17,92,0,D05
H00194,17,17,127,0,D06
H00195,17,17,36,1,D04
H00196,10,10,124,0,D05
H00197,0,0,50,0,D01
H00198,13,13,45,0,D07
H00199,18,18,23,1,D06
H00200,4,4,57,1,D03
H00201,14,14,89,0,D08
H00202,6,6,35,0,D08
H00203,12,12,63,0,D07
H00204,11,11,82,0,D08
H00205,16,16,84,0,D01
H00206,9,9,126,1,D01
H00207,6,6,82,0,D04
H00208,10,10,33,0,D04
H00209,16,16,23,1,D05
H00210,14,14,42,1,D06
H00211,0,0,45,1,D02
H00212,0,0,29,0,D04
H00213,8,8,46,1,D03
H00214,0,0,43,0,D03
H00215,0,0,45,0,D07
H00216,5,5,121,0,D07
H00217,15,15,49,1,D05
H00218,1,1,84,0,D02
H00219,19,19,130,0,D08
H00220,4,4,70,1,D03
H00221,5,5,56,1,D03
H00222,19,19,128,0,D04
H00223,16,16,99,0,D08
H00224,5,5,44,0,D08
H00225,4,4,52,1,D02
H00226,12,12,103,0,D08
H00227,8,8,39,1,D08
H00228,5,5,84,1,D03
H00229,12,12,66,1,D03
H00230,2,2,9,0,D06
H00231,8,8,14,1,D03
H00232,16,16,84,1,D02
H00233,4,4,47,0,D02
H00234,5,5,12,1,D08
H00235,11,11,116,1,D05
H00236,13,13,95,0,D02
H00237,6,6,65,0,D04
H00238,4,4,121,1,D04
H00239,16,16,62,1,D01
H00240,3,3,73,0,D06
H00241,16,16,73,0,D02
H00242,14,14,29,0,D02
H00243,1,1,24,0,D01
H00244,1,1,81,1,D05
H00245,10,10,82,0,D08
H00246,14,14,25,1,D06
H00247,6,6,83,0,D02
H00248,12,12,107,0,D04
H00249,15,15,83,0,D02
H00250,10,10,115,0,D08
H00251,4,4,73,1,D03
H00252,19,19,105,0,D01
H00253,11,11,33,0,D07
H00254,17,17,93,0,D08
H00255,19,19,108,0,D02
H00256,14,14,93,0,D03
H00257,4,4,71,1,D01
H00258,16,16,60,1,D08
H00259,1,1,51,0,D08
H00260,2,2,54,0,D06
H00261,8,8,43,1,D08
H00262,7,7,66,0,D01
H00263,6,6,23,1,D08
H00264,9,9,68,1,D01
H00265,3,3,81,0,D07
H00266,6,6,40,1,D01
H00267,14,14,60,0,D03
H00268,11,11,50,0,D07
H00269,17,17,74,1,D01
H00270,1,1,35,0,D06
H00271,12,12,63,1,D03
H00272,4,4,108,0,D07
H00273,0,0,42,1,D01
H00274,16,16,35,0,D06
H00275,1,1,34,0,D01
H00276,10,10,69,0,D03
H00277,2,2,11,0,D06
H00278,17,17,118,1,D01
H00279,7,7,100,0,D05
