hh_id,onset_day,listing_day,event_day,event_type,report_domain
H00091,11,11,104,0,D07
H00092,2,2,107,2,D05
H00093,4,4,109,1,D04
H00094,13,13,76,2,D05
H00095,6,6,12,0,D03
H00096,16,16,29,1,D05
H00097,16,16,97,0,D03
H00098,16,16,119,2,D05
H00099,8,8,48,0,D03
H00100,19,19,68,2,D02
H00101,14,14,62,0,D01
H00102,17,17,65,0,D08
H00103,6,6,88,0,D01
H00104,19,19,93,1,D08
H00105,12,12,17,0,D02
H00106,2,2,96,2,D06
H00107,16,16,104,0,D05
H00108,17,17,66,2,D02
H00109,9,9,47,2,D03
H00110,16,16,128,2,D06
H00111,8,8,109,0,D01
H00112,14,14,47,0,D07
H00113,12,12,104,0,D02
H00114,11,11,70,1,D05
H00115,16,16,99,0,D06
H00116,9,9,124,0,D07
H00117,2,2,11,0,D07
H00118,1,1,107,0,D03
H00119,4,4,31,0,D01
H00120,11,11,31,1,D07
H00121,17,17,110,1,D04
H00122,0,0,12,1,D03
H00123,18,18,115,0,D06
H00124,6,6,41,2,D02
H00125,17,17,83,0,D04
H00126,5,5,98,0,D07
H00127,9,9,119,0,D02
H00128,18,18,34,0,D01
H00129,7,7,103,2,D01
H00130,2,2,108,0,D04
H00131,14,14,67,0,D07
H00132,14,14,33,0,D01
H00133,2,2,58,0,D01
H00134,6,6,88,1,D05
H00135,15,15,42,0,D08
H00136,17,17,105,2,D03
H00137,4,4,38,1,D07
H00138,19,19,67,0,D03
H00139,6,6,108,1,D01
H00140,3,3,47,1,D06
H00141,7,7,20,2,D07
H00142,14,14,68,0,D03
H00143,6,6,66,0,D02
H00144,12,12,59,2,D08
H00145,6,6,77,0,D03
H00146,16,16,62,0,D02
H00147,4,4,116,2,D06
H00148,11,11,78,2,D05
H00149,7,7,27,0,D06
H00150,8,8,15,0,D05
H00151,5,5,114,0,D02
H00152,4,4,105,2,D04
H00153,5,5,61,2,D02
H00154,4,4,9,2,D08
H00155,19,19,122,1,D03
H00156,9,9,18,0,D06
H00157,19,19,75,0,D08
H00158,11,11,62,0,D08
H00159,14,14,26,0,D02
H00160,18,18,64,0,D05
H00161,12,12,93,2,D07
H00162,5,5,93,1,D03
H00163,9,9,32,2,D07
H00164,15,15,92,1,D06
H00165,14,14,69,1,D01
H00166,2,2,91,1,D02
H00167,10,10,53,0,D06
H00168,9,9,32,1,D01
H00169,10,10,81,0,D04
H00170,7,7,62,0,D06
H00171,0,0,28,2,D08
H00172,15,15,68,0,D01
H00173,16,16,79,0,D05
H00174,3,3,120,2,D01
H00175,13,13,128,2,D01
H00176,19,19,24,2,D05
H00177,13,13,85,0,D02
H00178,6,6,63,0,D07
H00179,17,17,52,0,D02
H00180,7,7,44,0,D05
H00181,9,9,116,0,D05
H00182,19,19,99,0,D05
H00183,11,11,81,0,D04
H00184,9,9,40,0,D08
H00185,11,11,90,0,D06
H00186,3,3,74,0,D01
H00187,10,10,98,1,D05
H00188,0,0,52,0,D03
H00189,14,14,33,1,D07
H00190,14,14,31,0,D02
H00191,5,5,83,0,D04
H00192,7,7,108,2,D01
H00193,0,0,119,0,D03
H00194,1,1,88,0,D01
H00195,13,13,88,1,D01
H00196,8,8,106,1,D04
H00197,9,9,77,0,D08
H00198,1,1,50,0,D06
H00199,10,10,57,0,D03
H00200,8,8,34,0,D08
H00201,14,14,102,2,D04
H00202,16,16,38,1,D03
H00203,4,4,47,0,D03
H00204,3,3,9,1,D04
H00205,3,3,111,2,D04
H00206,14,14,72,1,D04
H00207,16,16,26,1,D08
H00208,12,12,90,0,D02
H00209,6,6,91,1,D06
H00210,0,0,79,1,D06
H00211,0,0,28,1,D01
H00212,5,5,30,0,D08
H00213,16,16,66,0,D05
H00214,9,9,109,2,D07
H00215,14,14,98,2,D02
H00216,10,10,104,2,D06
H00217,3,3,47,0,D07
H00218,0,0,10,0,D02
H00219,6,6,58,1,D05
H00220,8,8,62,1,D03
H00221,17,17,84,0,D04
H00222,7,7,22,1,D04
H00223,18,18,65,2,D01
H00224,7,7,21,0,D05
H00225,19,19,101,0,D08
H00226,19,19,89,1,D08
H00227,5,5,10,2,D03
H00228,0,0,11,0,D05
H00229,11,11,29,1,D06
H00230,4,4,38,0,D05
H00231,7,7,23,1,D02
H00232,16,16,92,0,D01
H00233,8,8,58,2,D02
H00234,13,13,37,1,D04
H00235,4,4,119,1,D04
H00236,18,18,80,2,D05
H00237,10,10,124,0,D04
H00238,15,15,26,0,D05
H00239,7,7,47,2,D04
H00240,4,4,44,2,D05
H00241,14,14,123,1,D05
H00242,14,14,87,2,D01
H00243,9,9,124,0,D05
H00244,3,3,101,0,D05
H00245,11,11,18,2,D03
H00246,10,10,129,1,D05
H00247,12,12,98,0,D02
H00248,18,18,38,0,D05
H00249,10,10,120,1,D06
H00250,7,7,103,0,D02
H00251,8,8,67,0,D07
H00252,6,6,41,1,D02
H00253,15,15,29,0,D03
H00254,15,15,90,2,D02
H00255,17,17,59,0,D07
H00256,13,13,100,1,D01
H00257,9,9,35,1,D04
H00258,10,10,117,2,D06
H00259,16,16,86,1,D05
